,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
141,0.15,8100,POOL,1,Subdivision 1,TX2,1041 Main St,City1,ZIP2-41,ZIP3-41,ROOFTOP,CO41,Condo,Residential,1991,Y,Electric,1082,1282,1182,1032,Actual,1132,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,241.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,141000.0,111.0
142,0.2,8200,NO POOL,2,Subdivision 2,TX0,1042 Main St,City2,ZIP2-42,ZIP3-42,ROOFTOP,CO42,Single Family,Residential,1992,Y,Gas,1084,1284,1184,1034,Actual,1134,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,242.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,142000.0,112.0
143,0.25,8300,POOL,3,Subdivision 3,TX1,1043 Main St,City3,ZIP2-43,ZIP3-43,ROOFTOP,CO43,Condo,Residential,1993,Y,Electric,1086,1286,1186,1036,Actual,1136,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,243.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,143000.0,113.0
144,0.3,8400,NO POOL,4,Subdivision 4,TX2,1044 Main St,City4,ZIP2-44,ZIP3-44,ROOFTOP,CO44,Single Family,Residential,1994,Y,Electric,1088,1288,1188,1038,Actual,1138,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,244.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,144000.0,114.0
145,0.35,8500,POOL,5,Subdivision 0,TX0,1045 Main St,City5,ZIP2-45,ZIP3-45,ROOFTOP,CO45,Condo,Residential,1995,Y,Gas,1090,1290,1190,1040,Actual,1140,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,245.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,145000.0,115.0
146,0.4,8600,NO POOL,6,Subdivision 1,TX1,1046 Main St,City6,ZIP2-46,ZIP3-46,ROOFTOP,CO46,Single Family,Residential,1996,Y,Electric,1092,1292,1192,1042,Actual,1142,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,246.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,146000.0,116.0
147,0.45,8700,POOL,7,Subdivision 2,TX2,1047 Main St,City7,ZIP2-47,ZIP3-47,ROOFTOP,CO47,Condo,Residential,1997,Y,Electric,1094,1294,1194,1044,Actual,1144,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,247.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,147000.0,117.0
148,0.5,8800,NO POOL,8,Subdivision 3,TX0,1048 Main St,City8,ZIP2-48,ZIP3-48,ROOFTOP,CO48,Single Family,Residential,1998,Y,Gas,1096,1296,1196,1046,Actual,1146,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,248.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,148000.0,118.0
149,0.55,8900,POOL,9,Subdivision 4,TX1,1049 Main St,City9,ZIP2-49,ZIP3-49,ROOFTOP,CO49,Condo,Residential,1999,Y,Electric,1098,1298,1198,1048,Actual,1148,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,249.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,149000.0,119.0
150,0.1,4000,NO POOL,0,Subdivision 0,TX2,1050 Main St,City0,ZIP2-50,ZIP3-0,ROOFTOP,CO50,Single Family,Residential,2000,N,Electric,1100,1300,1200,1050,Actual,1150,4,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,250.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,150000.0,120.0
151,0.15,4100,POOL,1,Subdivision 1,TX0,1051 Main St,City1,ZIP2-51,ZIP3-1,ROOFTOP,CO51,Condo,Residential,2001,Y,Gas,1102,1302,1202,1052,Actual,1152,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,251.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,151000.0,121.0
152,0.2,4200,NO POOL,2,Subdivision 2,TX1,1052 Main St,City2,ZIP2-52,ZIP3-2,ROOFTOP,CO52,Single Family,Residential,2002,Y,Electric,1104,1304,1204,1054,Actual,1154,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,252.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,152000.0,122.0
153,0.25,4300,POOL,3,Subdivision 3,TX2,1053 Main St,City3,ZIP2-53,ZIP3-3,ROOFTOP,CO53,Condo,Residential,2003,Y,Electric,1106,1306,1206,1056,Actual,1156,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,253.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,153000.0,123.0
154,0.3,4400,NO POOL,4,Subdivision 4,TX0,1054 Main St,City4,ZIP2-54,ZIP3-4,ROOFTOP,CO54,Single Family,Residential,2004,Y,Gas,1108,1308,1208,1058,Actual,1158,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,254.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,154000.0,124.0
155,0.35,4500,POOL,5,Subdivision 0,TX1,1055 Main St,City5,ZIP2-55,ZIP3-5,ROOFTOP,CO55,Condo,Residential,2005,Y,Electric,1110,1310,1210,1060,Actual,1160,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,255.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,155000.0,125.0
156,0.4,4600,NO POOL,6,Subdivision 1,TX2,1056 Main St,City6,ZIP2-56,ZIP3-6,ROOFTOP,CO56,Single Family,Residential,2006,Y,Electric,1112,1312,1212,1062,Actual,1162,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,256.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,156000.0,126.0
157,0.45,4700,POOL,7,Subdivision 2,TX0,1057 Main St,City7,ZIP2-57,ZIP3-7,ROOFTOP,CO57,Condo,Residential,2007,Y,Gas,1114,1314,1214,1064,Actual,1164,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,257.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,157000.0,127.0
158,0.5,4800,NO POOL,8,Subdivision 3,TX1,1058 Main St,City8,ZIP2-58,ZIP3-8,ROOFTOP,CO58,Single Family,Residential,2008,Y,Electric,1116,1316,1216,1066,Actual,1166,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,258.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,158000.0,128.0
159,0.55,4900,POOL,9,Subdivision 4,TX2,1059 Main St,City9,ZIP2-59,ZIP3-9,ROOFTOP,CO59,Condo,Residential,2009,Y,Electric,1118,1318,1218,1068,Actual,1168,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,259.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,159000.0,129.0
160,0.1,5000,NO POOL,0,Subdivision 0,TX0,1060 Main St,City0,ZIP2-60,ZIP3-10,ROOFTOP,CO60,Single Family,Residential,2010,N,Gas,1120,1320,1220,1070,Actual,1170,2,2.5,0.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,260.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,160000.0,100.0
161,0.15,5100,POOL,1,Subdivision 1,TX1,1061 Main St,City1,ZIP2-61,ZIP3-11,ROOFTOP,CO61,Condo,Residential,2011,Y,Electric,1122,1322,1222,1072,Actual,1172,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,261.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,161000.0,101.0
162,0.2,5200,NO POOL,2,Subdivision 2,TX2,1062 Main St,City2,ZIP2-62,ZIP3-12,ROOFTOP,CO62,Single Family,Residential,2012,Y,Electric,1124,1324,1224,1074,Actual,1174,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,262.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,162000.0,102.0
163,0.25,5300,POOL,3,Subdivision 3,TX0,1063 Main St,City3,ZIP2-63,ZIP3-13,ROOFTOP,CO63,Condo,Residential,2013,Y,Gas,1126,1326,1226,1076,Actual,1176,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,263.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,163000.0,103.0
164,0.3,5400,NO POOL,4,Subdivision 4,TX1,1064 Main St,City4,ZIP2-64,ZIP3-14,ROOFTOP,CO64,Single Family,Residential,2014,Y,Electric,1128,1328,1228,1078,Actual,1178,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,264.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,164000.0,104.0
165,0.35,5500,POOL,5,Subdivision 0,TX2,1065 Main St,City5,ZIP2-65,ZIP3-15,ROOFTOP,CO65,Condo,Residential,2015,Y,Electric,1130,1330,1230,1080,Actual,1180,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,265.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,165000.0,105.0
166,0.4,5600,NO POOL,6,Subdivision 1,TX0,1066 Main St,City6,ZIP2-66,ZIP3-16,ROOFTOP,CO66,Single Family,Residential,2016,Y,Gas,1132,1332,1232,1082,Actual,1182,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,266.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,166000.0,106.0
167,0.45,5700,POOL,7,Subdivision 2,TX1,1067 Main St,City7,ZIP2-67,ZIP3-17,ROOFTOP,CO67,Condo,Residential,2017,Y,Electric,1134,1334,1234,1084,Actual,1184,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,267.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,167000.0,107.0
168,0.5,5800,NO POOL,8,Subdivision 3,TX2,1068 Main St,City8,ZIP2-68,ZIP3-18,ROOFTOP,CO68,Single Family,Residential,2018,Y,Electric,1136,1336,1236,1086,Actual,1186,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,268.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,168000.0,108.0
169,0.55,5900,POOL,9,Subdivision 4,TX0,1069 Main St,City9,ZIP2-69,ZIP3-19,ROOFTOP,CO69,Condo,Residential,2019,Y,Gas,1138,1338,1238,1088,Actual,1188,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,269.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,169000.0,109.0
170,0.1,6000,NO POOL,0,Subdivision 0,TX1,1070 Main St,City0,ZIP2-70,ZIP3-20,ROOFTOP,CO70,Single Family,Residential,2020,N,Electric,1140,1340,1240,1090,Actual,1190,3,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,270.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,170000.0,110.0
171,0.15,6100,POOL,1,Subdivision 1,TX2,1071 Main St,City1,ZIP2-71,ZIP3-21,ROOFTOP,CO71,Condo,Residential,2021,Y,Electric,1142,1342,1242,1092,Actual,1192,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,271.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,171000.0,111.0
172,0.2,6200,NO POOL,2,Subdivision 2,TX0,1072 Main St,City2,ZIP2-72,ZIP3-22,ROOFTOP,CO72,Single Family,Residential,2022,Y,Gas,1144,1344,1244,1094,Actual,1194,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,272.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,172000.0,112.0
173,0.25,6300,POOL,3,Subdivision 3,TX1,1073 Main St,City3,ZIP2-73,ZIP3-23,ROOFTOP,CO73,Condo,Residential,2023,Y,Electric,1146,1346,1246,1096,Actual,1196,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,273.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,173000.0,113.0
174,0.3,6400,NO POOL,4,Subdivision 4,TX2,1074 Main St,City4,ZIP2-74,ZIP3-24,ROOFTOP,CO74,Single Family,Residential,2024,Y,Electric,1148,1348,1248,1098,Actual,1198,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,274.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,174000.0,114.0
175,0.35,6500,POOL,5,Subdivision 0,TX0,1075 Main St,City5,ZIP2-75,ZIP3-25,ROOFTOP,CO75,Condo,Residential,1950,Y,Gas,1150,1350,1250,1100,Actual,1200,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,275.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,175000.0,115.0
176,0.4,6600,NO POOL,6,Subdivision 1,TX1,1076 Main St,City6,ZIP2-76,ZIP3-26,ROOFTOP,CO76,Single Family,Residential,1951,Y,Electric,1152,1352,1252,1102,Actual,1202,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,276.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,176000.0,116.0
177,0.45,6700,POOL,7,Subdivision 2,TX2,1077 Main St,City7,ZIP2-77,ZIP3-27,ROOFTOP,CO77,Condo,Residential,1952,Y,Electric,1154,1354,1254,1104,Actual,1204,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,277.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,177000.0,117.0
178,0.5,6800,NO POOL,8,Subdivision 3,TX0,1078 Main St,City8,ZIP2-78,ZIP3-28,ROOFTOP,CO78,Single Family,Residential,1953,Y,Gas,1156,1356,1256,1106,Actual,1206,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,278.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,178000.0,118.0
179,0.55,6900,POOL,9,Subdivision 4,TX1,1079 Main St,City9,ZIP2-79,ZIP3-29,ROOFTOP,CO79,Condo,Residential,1954,Y,Electric,1158,1358,1258,1108,Actual,1208,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,279.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,179000.0,119.0
180,0.1,7000,NO POOL,0,Subdivision 0,TX2,1080 Main St,City0,ZIP2-80,ZIP3-30,ROOFTOP,CO80,Single Family,Residential,1955,N,Electric,1160,1360,1260,1110,Actual,1210,4,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,280.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,180000.0,120.0
181,0.15,7100,POOL,1,Subdivision 1,TX0,1081 Main St,City1,ZIP2-81,ZIP3-31,ROOFTOP,CO81,Condo,Residential,1956,Y,Gas,1162,1362,1262,1112,Actual,1212,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,281.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,181000.0,121.0
182,0.2,7200,NO POOL,2,Subdivision 2,TX1,1082 Main St,City2,ZIP2-82,ZIP3-32,ROOFTOP,CO82,Single Family,Residential,1957,Y,Electric,1164,1364,1264,1114,Actual,1214,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,282.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,182000.0,122.0
183,0.25,7300,POOL,3,Subdivision 3,TX2,1083 Main St,City3,ZIP2-83,ZIP3-33,ROOFTOP,CO83,Condo,Residential,1958,Y,Electric,1166,1366,1266,1116,Actual,1216,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,283.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,183000.0,123.0
184,0.3,7400,NO POOL,4,Subdivision 4,TX0,1084 Main St,City4,ZIP2-84,ZIP3-34,ROOFTOP,CO84,Single Family,Residential,1959,Y,Gas,1168,1368,1268,1118,Actual,1218,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,284.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,184000.0,124.0
185,0.35,7500,POOL,5,Subdivision 0,TX1,1085 Main St,City5,ZIP2-85,ZIP3-35,ROOFTOP,CO85,Condo,Residential,1960,Y,Electric,1170,1370,1270,1120,Actual,1220,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,285.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,185000.0,125.0
186,0.4,7600,NO POOL,6,Subdivision 1,TX2,1086 Main St,City6,ZIP2-86,ZIP3-36,ROOFTOP,CO86,Single Family,Residential,1961,Y,Electric,1172,1372,1272,1122,Actual,1222,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,286.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,186000.0,126.0
187,0.45,7700,POOL,7,Subdivision 2,TX0,1087 Main St,City7,ZIP2-87,ZIP3-37,ROOFTOP,CO87,Condo,Residential,1962,Y,Gas,1174,1374,1274,1124,Actual,1224,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,287.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,187000.0,127.0
188,0.5,7800,NO POOL,8,Subdivision 3,TX1,1088 Main St,City8,ZIP2-88,ZIP3-38,ROOFTOP,CO88,Single Family,Residential,1963,Y,Electric,1176,1376,1276,1126,Actual,1226,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,288.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,188000.0,128.0
189,0.55,7900,POOL,9,Subdivision 4,TX2,1089 Main St,City9,ZIP2-89,ZIP3-39,ROOFTOP,CO89,Condo,Residential,1964,Y,Electric,1178,1378,1278,1128,Actual,1228,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,289.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,189000.0,129.0
190,0.1,8000,NO POOL,0,Subdivision 0,TX0,1090 Main St,City0,ZIP2-90,ZIP3-40,ROOFTOP,CO90,Single Family,Residential,1965,N,Gas,1180,1380,1280,1130,Actual,1230,2,2.5,500.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,290.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,190000.0,100.0
191,0.15,8100,POOL,1,Subdivision 1,TX1,1091 Main St,City1,ZIP2-91,ZIP3-41,ROOFTOP,CO91,Condo,Residential,1966,Y,Electric,1182,1382,1282,1132,Actual,1232,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,291.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,191000.0,101.0
192,0.2,8200,NO POOL,2,Subdivision 2,TX2,1092 Main St,City2,ZIP2-92,ZIP3-42,ROOFTOP,CO92,Single Family,Residential,1967,Y,Electric,1184,1384,1284,1134,Actual,1234,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,292.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,192000.0,102.0
193,0.25,8300,POOL,3,Subdivision 3,TX0,1093 Main St,City3,ZIP2-93,ZIP3-43,ROOFTOP,CO93,Condo,Residential,1968,Y,Gas,1186,1386,1286,1136,Actual,1236,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,293.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,193000.0,103.0
194,0.3,8400,NO POOL,4,Subdivision 4,TX1,1094 Main St,City4,ZIP2-94,ZIP3-44,ROOFTOP,CO94,Single Family,Residential,1969,Y,Electric,1188,1388,1288,1138,Actual,1238,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,294.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,194000.0,104.0
195,0.35,8500,POOL,5,Subdivision 0,TX2,1095 Main St,City5,ZIP2-95,ZIP3-45,ROOFTOP,CO95,Condo,Residential,1970,Y,Electric,1190,1390,1290,1140,Actual,1240,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,295.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,195000.0,105.0
196,0.4,8600,NO POOL,6,Subdivision 1,TX0,1096 Main St,City6,ZIP2-96,ZIP3-46,ROOFTOP,CO96,Single Family,Residential,1971,Y,Gas,1192,1392,1292,1142,Actual,1242,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,296.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,196000.0,106.0
197,0.45,8700,POOL,7,Subdivision 2,TX1,1097 Main St,City7,ZIP2-97,ZIP3-47,ROOFTOP,CO97,Condo,Residential,1972,Y,Electric,1194,1394,1294,1144,Actual,1244,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,297.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,197000.0,107.0
198,0.5,8800,NO POOL,8,Subdivision 3,TX2,1098 Main St,City8,ZIP2-98,ZIP3-48,ROOFTOP,CO98,Single Family,Residential,1973,Y,Electric,1196,1396,1296,1146,Actual,1246,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,298.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,198000.0,108.0
199,0.55,8900,POOL,9,Subdivision 4,TX0,1099 Main St,City9,ZIP2-99,ZIP3-49,ROOFTOP,CO99,Condo,Residential,1974,Y,Gas,1198,1398,1298,1148,Actual,1248,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,299.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,199000.0,109.0
200,0.1,4000,NO POOL,0,Subdivision 0,TX1,1100 Main St,City0,ZIP2-0,ZIP3-0,ROOFTOP,CO100,Single Family,Residential,1975,N,Electric,1200,1400,1300,1150,Actual,1250,3,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,200.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,200000.0,110.0
201,0.15,4100,POOL,1,Subdivision 1,TX2,1101 Main St,City1,ZIP2-1,ZIP3-1,ROOFTOP,CO101,Condo,Residential,1976,Y,Electric,1202,1402,1302,1152,Actual,1252,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,201.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,201000.0,111.0
202,0.2,4200,NO POOL,2,Subdivision 2,TX0,1102 Main St,City2,ZIP2-2,ZIP3-2,ROOFTOP,CO102,Single Family,Residential,1977,Y,Gas,1204,1404,1304,1154,Actual,1254,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,202.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,202000.0,112.0
203,0.25,4300,POOL,3,Subdivision 3,TX1,1103 Main St,City3,ZIP2-3,ZIP3-3,ROOFTOP,CO103,Condo,Residential,1978,Y,Electric,1206,1406,1306,1156,Actual,1256,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,203.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,203000.0,113.0
204,0.3,4400,NO POOL,4,Subdivision 4,TX2,1104 Main St,City4,ZIP2-4,ZIP3-4,ROOFTOP,CO104,Single Family,Residential,1979,Y,Electric,1208,1408,1308,1158,Actual,1258,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,204.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,204000.0,114.0
205,0.35,4500,POOL,5,Subdivision 0,TX0,1105 Main St,City5,ZIP2-5,ZIP3-5,ROOFTOP,CO105,Condo,Residential,1980,Y,Gas,1210,1410,1310,1160,Actual,1260,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,205.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,205000.0,115.0
206,0.4,4600,NO POOL,6,Subdivision 1,TX1,1106 Main St,City6,ZIP2-6,ZIP3-6,ROOFTOP,CO106,Single Family,Residential,1981,Y,Electric,1212,1412,1312,1162,Actual,1262,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,206.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,206000.0,116.0
207,0.45,4700,POOL,7,Subdivision 2,TX2,1107 Main St,City7,ZIP2-7,ZIP3-7,ROOFTOP,CO107,Condo,Residential,1982,Y,Electric,1214,1414,1314,1164,Actual,1264,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,207.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,207000.0,117.0
208,0.5,4800,NO POOL,8,Subdivision 3,TX0,1108 Main St,City8,ZIP2-8,ZIP3-8,ROOFTOP,CO108,Single Family,Residential,1983,Y,Gas,1216,1416,1316,1166,Actual,1266,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,208.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,208000.0,118.0
209,0.55,4900,POOL,9,Subdivision 4,TX1,1109 Main St,City9,ZIP2-9,ZIP3-9,ROOFTOP,CO109,Condo,Residential,1984,Y,Electric,1218,1418,1318,1168,Actual,1268,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,209.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,209000.0,119.0
